#id	Meaning	bara1273	cuma1241	nort2686	oldu1238	sout2694	nort2697	bash1264	chuv1255	crim1257	dolg1241	gaga1249	kara1467	kara1465	kara1464	kaza1248	khak1248	khal1270	kirg1245	kumy1244	tuta1234	noga1249	sala1264	west2402	shor1247	kaza1250	tofa1248	nucl1301	turk1304	tuvi1240	uigh1240	uzbe1247	yaku1245	halh1238	buri1258	kalm1244	kalm1243	kham1281	daur1238	east2337	baoa1237	dong1285	minh1238	huzh1238	kang1281	mogh1245	midd1351	nana1257	oroc1248	udih1248	cent2414	kuro1242	biki1239	orok1265	ulch1241	jurc1239	manc1252	xibe1242	even1260	solo1263	even1259	hiss1234	sout3321	ilim1234	ilim1234.2	negi1245	oroq1238	hwan1238	hamg1238	hamg1239	jeju1234	chol1278	kyon1247	chun1247	seou1239	midd1372	nucl1643	oldj1239	nort2935	nort2935.2	sout2954	cent2126	shur1243	ikem1234	yaey1239	hato1238	yona1241	sats1241	kuma1281	haka1241	hach1239
	root (n.)						kök					kök																kök	kök																																																														
	root (n.)		tub																																																																																								
	root (n.)																						o:zeχ																	ɔrɔ																																																			
	root (n.)																čilegebor																																																																										
	root (n.)																	bi:χbor																																																																									
	come (v.)																																																																			o	o	o	o	o		o	o	wo															
	come (v.)																																															əmə	əmə	əmə		əmə	di						em	əmə	əmə	əmə	əmə	əmə	èmè	əmə	əmə																								
	come (v.)																																																		ʤi				di	diu	ʤi	ʤi																																	
	come (v.)																																																					sinda																																					
	come (v.)																																																							iši																																			
	come (v.)																																	ir	ere	ir	ire	iro­	ir­	ere	er	irə	ri	ra	re	irȧ	yire																																												
	come (v.)	kĕl	kel	kel	kel	kel	ǵäl	kil	kil	kel	kel	gel	kel	kel	kel	kel	kil	käl	kel	gel	kæl	kel	gel	kel	kel	kil	kel	gel	gel	kel	käl	kel	kel																																												ko	ko	ki	kjuɴ	kjuɴ	suɴ	cuuɴ	fuï	kï	ku	khùn	kuʔ	kuru	kuru	
	breast (n.) 																																																																												mune	mune	munï	nɨɨ	nipara	nii	ɴni	mnivcï	ɴni	ɴɴni	ccimuti	mune	mune	mune	mune
	breast (n.) 																																																																			kasum	kasum	kasum	kasum	kasim	kasim	kasim	kasim	kasom															
	breast (n.) 																																															tiŋən	tiŋə	tiŋə	tuŋən	tiŋən	tuŋgə	tuŋə	tuŋgə	tuŋgə	tuŋgən	tuŋun	tiŋen		tiŋən																														
	breast (n.)																																																					hosoptu												tiŋən																									
	breast (n.)																																																													hikən	hikon	hikɒːn	hikèn																										
	breast (n.) 																																						kenger																					həŋgər							kəːŋtirə																								
	breast (n.)																																			örč	örči		ərcō						iʃʤɔ																																														
	breast (n.) 																																		übsü:n	övcün	övcü:n	öbcö:		pədʒyyn	ebʨaŋ			ɕdʑauu																																															
	breast (n.) 																																	ce:ǰ	se:že		če:ǰi					ətʂən				čεiǰi	čeeǰi																																												
	breast (n.)	kökräk	köksug	kögüs	kögüz	kögüs	köküs	kükräk	kəʷgəʷr	koküs		gü:s	kökürek	kökürek	kökräk	kökrek	kögɘs	ki:es	kökürök	kökürek		kökirek	küpräχ	gös		kükräk		göɣüs	kükrek		kökräk	kọkrak		xöx	xüxe	kökn				hkön	kugo	gogo	kugo	kugo			kokan			oko	kun			qu:n		gugu	xuxun	xuxuŋ	okan																																
	breast (n.) 	tüš	tos	töš	töš	töš	döš	tüš			tüös		tös	töš	töš	tös				töš	tös			tos	töš	tüš	töš		döš				tüös																																																										
	breast (n.) 												gewde			kewde																																																																											
	rain (n.)																																																																												ame	ame	ɂamï	ɂamɨɨ	ami	ɂamii	ɂami	ami	aami	ami	àmi	ame	ame	ame	ame
	rain (n.)																																																																																										
	rain (n.)																																																																			pi	pi	pi	pi	pi	pi	pi	pi	pi															
	rain (n.)																																															tigdə	tigdə	tigdə	tugdə	tigdə	tugdə	tugdə	tugdə							tygdə	tɨgdə	tɨgdɒ		tigdə	tegdə																								
	rain (n.)																																																udu										udan	ụdụŋ	udun				udun																										
	rain (n.)																																																							aguad	agaad	ahaad																																	
	rain (n.)																																	boro:	boro:nbor			boronbor								boronbor																																													
	rain (n.)																																		xura	xur	xur	xura	huar	xura	gura	gura	khura	rwa	gura		qura																																												
	rain (n.)	yanɣïr	yamgur	ńaŋmïr	jaɣmur	daaš	yaɣïš	yamɣïr	śumər	yaɣïš	hamï:r	ya:mur	žawïn	ǰaŋur	yamɣur	žaŋbïr	naŋmïr	yaɣïš	ǰamɣïr	yaŋur		jamɣïr	yaɣmur	yaɣmïr	naɣbur	yangïr		yaɣmur	yaɣïš		yamɣur	yɔmɣir	samï:r																																																										
	rain (n.)																				suɣ																																																																						
	rain (n.)																										öˁsken																																																																
	rain (n.)																													čaˁsbor																																																													
	1SG																																																																																								oru		
	1SG																																																																																			a			ânu	atai		ataki	
	1SG																																																																			nay	nay	nay	na	na	nay	nay	na	na															
	1SG	min						min			min						min									min							min	bi	bi	bi	bi	bi	bi	bə	bə	bi	bi	bu	bi	bi	bi	bi	bi	bi	mimin	mi	bi	biː	bi	bi	bi	bi	biː	bi	biː	bi	bi	biː	bi	bi	biː																								
	1SG		men	men	ben	men	män		ebɘ	men		bän	men	men	men	men		män	men	men	män	men	men	men	men		men	ben	men	men	män	men																																													ware	wa	waɴ	waɴ	waa	wanuu	waɴ		banu	baa					wa
	name (n.)																																																																												namaebor	na	na	naa	naa	naa	naa	naa	naa	naa	náa	namaebor	na	namaebor	nameːbor
	name (n.)																																																																			ilum	ilum	ilum	ilum	ilum	ilum	ilum	ilum	ilhom															
	name (n.)																																															gərbi	gəbbi	gəgbi	gərbu	gərbi	gərbi	gəlbu	gəlbu	gəbu	gəbu	gəv	gerbe	gəbbi	gərbiː	gərbiː	gərbiː	gərbiː	gèrbi	gəlbi	gərbi																								
	name (n.)																																	ner	nere	nern	neren	norən	nera	nere	nerə	niərə	niere	nira	nere	nεrʌ	nere																																												
	name (n.)	at	at	at	at	at	ad		yat	ad	a:t	ad	at	at	ad	at	at	a:t	at	at	at	at	at	at	at	at	at	ad	at	at	at	ɔt	a:t																																																										
	name (n.)							isembor																				isimbor				ismbor																																																											
	louse (n.)																																																																												sirami	sirami	siraɴ	sɨnaɴ	sjaɴ	saami	siraɴ	ssam	ssaɴ	ssaɴ	ccân	ɕi̥tame	ɕirame	ɕirami	ɕamme
	louse (n.)																																																																									kalangi																	
	louse (n.)																																																																								ssikemi																		
	louse (n.)																																																																				isipho																						
	louse (n.)																																																																			ni		ni	ni	i			i	ni															
	louse (n.)																																																				ńilkə																																						
	louse (n.)																																															kuməkə	kumə	kumugə		kuŋkə							kumke	huŋkə	kumkəː	kumkə	kumko:	kumkə	kumkè	kumkə	kumkə																								
	louse (n.)																																																		čiːktə		čiktə	čiktə	tiqtə	tihə	čihə	čixə																																	
	louse (n.)																																	bö:s	bö:hen	bö:sn	bö:sen	bōhun	bōs	byysən	bɵ:sɵŋ	bosun	bosi	boosə	bɵsun	busu	boesun																																												
	louse (n.)		bit	piyt	bit	biyt	bit	bet	pïydə	bit			biyt	bit	bit	bit	pɘt	bit	bit	bit	pɘt	biyt	pičt	pïšt	pit	bet	bïˁt	bit	bit	bït	pit	bit	bït																																																										
	wing (n.)																																																																												hane	pane	hane	hanɨɨ	pani	panii	hani	pani	pani	pani	háni	hane	hane	hane	hane
	wing (n.)																																																																			nalkay	nalkay	nalkay	nelkayki	nalkayccokci	nalay	nelkwumchi	nalkaymi	nolkay															
	wing (n.)																																																											dawe																															
	wing (n.)																																															dəhsə	dəktisə	daktä		dəktənə	dəgdəcə						deːtle		dəktiləː	dəktyləː	dəktəndə	dəktəndə																											
	wing (n.)																																																		hasar	hasar	hasara	hasa	χasal		asha	ash	asiki			asakiː			asaki	asahiː	ašakeː																								
	wing (n.)																																	dal	dali	dalv	dalavči	dali																																																					
	wing (n.)																																	ǰigü:r			ǰiver							dʑa:r			ǰiur																																												
